square,label,score
square_0_0.png,rejected,0.9997385740280151
square_0_1.png,rejected,0.9999942779541016
square_0_2.png,rejected,0.9995998740196228
square_0_3.png,accepted,8.355596037290525e-06
square_0_4.png,rejected,0.9998801350593567
square_0_5.png,accepted,7.422087946906686e-06
square_0_6.png,rejected,0.9999949932098389
square_0_7.png,rejected,0.9997965693473816
square_1_0.png,rejected,0.9965505599975586
square_1_1.png,rejected,0.9998070001602173
square_1_2.png,rejected,0.9999712109565735
square_1_3.png,rejected,0.9999513626098633
square_1_4.png,rejected,0.9998013377189636
square_1_5.png,rejected,0.9999085664749146
square_1_6.png,accepted,1.705051204226038e-06
square_1_7.png,rejected,0.9997414946556091
square_2_0.png,rejected,0.9999998211860657
square_2_1.png,rejected,0.9999938011169434
square_2_2.png,accepted,2.0890593077638187e-05
square_2_3.png,rejected,0.9999933242797852
square_2_4.png,rejected,0.9999979734420776
square_2_5.png,accepted,1.376448472001357e-05
square_2_6.png,rejected,0.9999978542327881
square_2_7.png,accepted,6.44145501382809e-08
square_3_0.png,rejected,0.9999784827232361
square_3_1.png,rejected,0.9999995827674866
square_3_2.png,accepted,2.9003371082581e-07
square_3_3.png,rejected,0.999999463558197
square_3_4.png,rejected,0.9999985694885254
square_3_5.png,rejected,0.999999463558197
square_3_6.png,accepted,2.7375188437872566e-05
square_3_7.png,accepted,0.00039223689236678183
square_4_0.png,accepted,7.567218744952697e-06
square_4_1.png,rejected,0.9999969005584717
square_4_2.png,rejected,0.9999998211860657
square_4_3.png,rejected,0.9999935030937195
square_4_4.png,accepted,0.0002624006010591984
square_4_5.png,accepted,6.458827215283236e-07
square_4_6.png,accepted,0.0005522872670553625
square_4_7.png,rejected,0.9999959468841553
square_5_0.png,accepted,4.655904888295481e-07
square_5_1.png,rejected,0.9999994039535522
square_5_2.png,accepted,1.4656813540625535e-08
square_5_3.png,rejected,0.9999997019767761
square_5_4.png,rejected,0.9999969601631165
square_5_5.png,rejected,0.9999995827674866
square_5_6.png,rejected,0.9999939799308777
square_5_7.png,rejected,0.9999997615814209
square_6_0.png,rejected,0.9987642168998718
square_6_1.png,rejected,0.9991880655288696
square_6_2.png,rejected,0.9999439716339111
square_6_3.png,rejected,0.9999505281448364
square_6_4.png,accepted,7.843708544896799e-07
square_6_5.png,rejected,0.9999753832817078
square_6_6.png,accepted,1.0522232685161725e-07
square_6_7.png,rejected,0.9970234632492065
square_7_0.png,rejected,0.9922950267791748
square_7_1.png,rejected,0.9999995231628418
square_7_2.png,accepted,3.1222998586599715e-07
square_7_3.png,rejected,0.9997767210006714
square_7_4.png,rejected,0.9995356202125549
square_7_5.png,rejected,0.9999425411224365
square_7_6.png,rejected,0.9998981952667236
square_7_7.png,accepted,1.0979709259117953e-05
